Question,Answer
"So just a couple of questions here. First, you do call out that $60 million headwind with plans to sort of oﬀset that in Slide 7. Just -- what scenario from Slide 8 are you embedding in the $60 million assumption for the year? Is it the May, is it the slow-start scenario? And does, sort of, that $60 million oﬀset get you to the midpoint of the 2020 guidance range assuming normal weather, obviously.","So great question, Shar. So I'll start by saying it does address the May start in terms of earnings impacts from sales reductions. So the $60 million is just to go through it. Deals worth a COVID sales reduction at $30 million, the incremental costs associated with the COVID-19 pandemic and also incorporates the results of the ﬁrst quarter that were driven by weather and the trust performance as well as the favorability of the non-utilities and also considers the original contingency in the plan.  So that delivers the $60 million earnings pressure that we have to go and ﬁnd and replace with further contingency development as well as we're also considering further delay, the other $20 million in our contingency development and potentially unfavorable weather in the summer and fall. So those are the things that we are building in addition to the $60 million. So we're going to build response from $60 million, in addition to that we're going to build contingency around that $60 million to address potential further degradation in sales or unfavorable weather.      DTE Energy Co (DTE US Equity)   Yeah. And Shar, this is Peter. And with that, the contingency build is going to be about -- it's about double that $60 million. So we understand there is uncertainty in the plan, so we're going to be developing contingency really to cover that."
"And then, just the normal weather. If we assume normal weather and summer weather does return, are you comfortable sort of with the midpoint of that earnings guidance?","Yes, we're comfortable with the midpoint and we're actually even building contingency beyond the $60 million, Shar, to accommodate things like cooler than normal weather or perhaps a warm fall."
"Perfect. And then, the detailed lean plan is targeting that $2.5 billion O&M budget. Would, sort of, those lean actions you guys guide to on Slide 9 that's embedded in the $60 million oﬀset, do you need to sort of rebuild this contingency throughout the remainder of 2020? How much of it is sort of locked down? And how much of that sort of O&M budget you expect to ﬂex as one-time? Is there any of it that could be perpetual for sort of forecasting purposes? And maybe, just a little bit more speciﬁcity. And I guess, any dollar amounts in that $2.5 billion budget you think you can collect?","Well, as Peter mentioned, our target to build the contingencies is approximately $120 million to $130 million, which is much more than the $60 million and the reason we're doing that is to ensure that we have plenty of contingency in our $60 million go-get [ph]. And the tactics that we'll be using will be delaying additional hiring, minimizing overtime, reducing our contractor and consultant spend and really deploying our people into that work as well as, Shar, we've developed deferred -- we've developed a bank of maintenance work over the years that we can now defer without sacriﬁcing safety or service.  We'll also be looking at other items such as reducing materials and support expense. Those are the big items and we've got a very detailed plan. I will tell you that, about a month ago, we saw this evolving and we started to study our load and then looking at how return-to-work could happen. We sprang into action and have built a very detailed plan at each of the operating units to go after this $120 million to $130 million of contingency built. So we're in execution shuttle at this point."
"And so are you -- you are well placed around the nature or the one-time nature, how much is sustainable?","DTE Energy Co (DTE US Equity)   Right, right. Right now, you'll -- where most of these are -- majority of these are going to be one- time in nature. We know we got the bridge between rate cases and we plan on ﬁling another case in summer. So -- and with a 10-month process we know will get trued up on sales then. Not to say that as we do these, is there new eﬃciencies and productivity that make more sustainable and we deﬁnitely would like to do that, that provide more headroom for capital investment."
"Terriﬁc. And then just lastly on sort of the equity. I mean, you obviously mentioned in the slides you're at the low end of guidance in 2020. How do we sort of think about equity needs in '21. Does that increase the equity needs in '21? The reason why I say that there was obviously some - - little bit of credit rating pressure in recent months with DTE and I think agencies are somewhat not comfortable with the level of the midstream exposure. What do you sort of need to do to oﬀset the concerns there? Do you need more equity down the line? So how do we sort of think about the equity guide beyond 2020?","Yeah, Shar I'll take those [ph]. It's Peter again. First on the rating agencies, we had a recent action by Fitch, which was anticipated. We have a strong investment credit rating across all the agencies now. They're all at the same level with a cushion with them all. Our plan is not actually to use that cushion. We really want to keep a strong balance sheet as we move into these are more uncertain times.  So we are driving to the low-end of the targeted range and we have a $1 million to $300 million range here in 2020 and that's not going to be deferring equity into next year. It's really going to be based on the strength of cash and the balance sheet for this year. And we do have some plans. I mean, we talked about the earnings contingency we're building. We're also looking at cash as well. And because we're now, we would like to, where we can, minimize the equity for this year."
"Hey. Just to be clear, I just want to make sure the guidance does hold up under the slow start scenario? I want to make sure I'm clear on that. And also, what is the monthly degradation rates for the summer under the slow start scenario, assuming things drag on?","So I guess the answer to the ﬁrst question, Michael, is yes. The guidance does hold up under the slow start scenario. We've modeled that way and we've also modeled our contingency build that way. So we're comfortable that the plan that we have today can deliver under the May start and the slow start.  We've given the annual impact on Slide 8 from sales reductions. We really haven't -- we've modeled -- we've got various scenarios and a band of scenarios that get you between the May start and slow start scenario on a monthly basis, but we haven't laid that out here."
And how much of that $120 million to $130 million contingency that you're planning on is coming from capex postponements versus opex cuts?,"Our -- we're maintaining our capital guidance. So we basically pause some of our capital projects, as you can imagine, due to the shelter-at-home order from the Governor, but we're resuming our construction activity here in May and we plan to catch up on our capital investments and deliver on our capital guidance for the year."
"DTE Energy Co (DTE US Equity)   And is there -- has the IRP -- the new, the reﬁled IRP and also the one, the new our renewable plan. Has any of that changed any of the capex forecast going forward?","It has not changed the capex plan going forward. As a matter of fact, the IRP recently got approved and we ﬁled our contracts associated with our renewables plan. We expect approvals of that in July. We feel good about that as well. And that's both the self-build and some amount of PPAs."
"And just to conﬁrm, it sounds like things are moving along pretty well for Gas Storage and Pipeline business, but just want to conﬁrm that in the Haynesville especially, that the current forward curve of gas which is building, is supportive of growth (Technical Issues) producers and your customer -- your producer customers. The long-term growth plans are supported by the forward curves.","Yeah, the positive for the pipeline and storage business in the ﬁrst quarter is that it's delivered better than plan for the ﬁrst quarter. And so that's been a positive start to the year. And I think if you look at Slide 29 and talk about the price complex in the gas business, you see that the reason that the price complex is being inﬂuenced in a positive way is that the associated gas at the front-end of that dispatch curve is expected to decline in terms of production volumes and what that does is it starts to -- on that cost curve starts to slide you right in order just to replace supply that's slowing today.  So the price -- pricing that's in the market today and what our producers are hedged at is well to the right of where our resources dispatch. So you can see, for example, the blue is our Haynesville assets. As you can see, they're at the very front of the dry gas dispatch curve, well within the current price complex for both 2020, '21 and '22. So we're feeling that our resources that we ship on our pipelines are extremely well-positioned in all our basins that we operate in."
"Hey, good morning. Absolutely. So okay, let's do a cleanup by following some of these questions here. So if I can go back to the ongoing nature of the cost reductions that you just alluded to or just talking about that in ways [ph], how do you think about balancing the ongoing elements of this cost reduction relative to rate increases and how that frames your future capex spending, given what that implies for rate increases? So I know that applies more holistically to the industry, but since we're speciﬁcally talking about cost reduction today and what the shape of that looks like, can you speak to that a little bit? And especially in the context of -- it seems like you all are very speciﬁcally conﬁdent about being able to cash up on your contemplated capex in '20 despite some of the hurdles here, which is impressive. So just want to talk about the other side, about that, on recovery, etc.","Sure. As it relates to cost, Julien, I think you know that we've got a long track record of managing our costs to our customers and also managing rates and bills at rates less than inﬂation over a great number of years and we will continue with that. This event has presented a unique challenge where we have to pursue some one-time items to reduce cost. But like Peter said, we will have the opportunity perhaps as we go forward here to persist with some of those cost reductions and if that happens, what that will do is it will provide more headroom in our investment plans.  I think we've mentioned before that we've got $2 billion of capital sitting on the sidelines, looking for aﬀordability headroom. Well, I think this event may provide the opportunity to bring some of that in as we go forward. But the ﬁrst thing we need to do is secure this year and as we look forward, we'll look to see if some of these cost reductions provide an opportunity for us."
