Question,Answer
"So, when we're looking at the numbers, clearly as you explicitly stated, the switching numbers are tracking ahead of what you had told us your budget was for this year, but you're also 70% of the targeted gross margin for the year in your oﬀ-system sales business and we're not even in the Third Quarter yet. Is there some way in the future you could give us what the net impacts to margins is by carving out the beneﬁts that are accruing to the OS oﬀ-system sales margins as energy and capacity move from the retail bucket to the wholesale bucket?","We'll surely try to craft something like that, Greg, to give you guys at least some directional view. The oﬀsetting positive eﬀects as you already mentioned showing where we are with oﬀ-system sales with just 2 quarters moving into what as you know is usually the most productive quarter, we feel very, very comfortable about where we are. As you know, inside of the ESP, there are some rate design issues as they pertain to the commercial rate class, which is the high impact class at Columbus Southern, we expect will get resolved.  Going forward, some of the oﬀ-system beneﬁts will continue to be there and some of the on- system switching might slowdown a bit. We'll try to give you a better picture of that so you can get a feel for it, but rest assured we feel extremely comfortable with where we are.  We're capturing about 25% of our own market share in that sense through AP retail having success and the other areas both -- all 3 really FE, Dayton and Cincinnati, so switching in Ohio is interesting. I think we've reacted to it in a constructive way and the impact on it, although more than we had expected has been very tolerable."
"And the Casper rule, some of the other companies have reported yesterday, indicated they thought there was a chance that the implementation could be delayed by the courts. Are you presuming that happens or are you presuming that doesn't happen, and when you look at the amount of credits you've been allocated, are they suﬃcient to mitigate the potential increase in customer bills?  Or do you have enough credits to mitigate having to increase what you charge in the system agreement? So, when you look at the balance, your long and short position, how does that play   American Electric Power Co Inc (AEP US Equity)   out in terms of where those credits get allocated and is that going to be a '12 impact or do you think perhaps it will be delayed?","Well, I like everybody else will continue to push for a delay because there's just no way in the world you can make a rule ﬁnal in November of 2011 and expect people to comply with it on January 2012. It's just as close to lunacy as you can get, but having said that we'll continue to plan to address those issues.  We continue to look at the options that are available to us. Your question on the credits is interesting. We're long in some jurisdictions, short in other jurisdictions. Some of the other controlled trading will allow us to address much of it, but maybe not all of it, and we're going about the process of trying to satisfy that shortage as we go. But as you know, in a regulated world those kinds of activities are recoverable from our customers and it's going to have some unfortunate dislocation.  And when you think about Casper and the timelines, we'll all be able to manage our way through it. If we end up spending a certain amount of money in the regulated footprint as you know that will turn into earnings as we go. The really devastating eﬀect though will be in those communities where plants are prematurely closed, jobs are lost, property tax bases are aﬀected.  And in many of those regions, Greg as you know, we're the only game in town, so when the power plants go, so go the communities and that is truly the unfortunate impact and no 1 on the coast cares about and I understand that whether it's East or West Coast, but we care a great deal about that in our footprint, we sure do."
"Final question, on the $900 million in pre-tax cash you'll hopefully be getting some time next year. Is there, do you know what the uses of that cash are going to look like at this point?","We do, Greg. We're going to obviously take some of that and re-securitize TCT by retiring some debt and there are going to be some requirements that we're going to have in Texas to retire that debt and reﬁnance that company but there will be a component of that that should be a signiﬁcant dividend up to the parent. And of course we'll use that for the other capital needs that we have and we sort of laid some of those out for you, the environmental needs that we have building the transmission business and others."
"First on the tax rate for the quarter, I'm sorry if I missed this but it did seem a little bit lower than I think normal. Could you tell us what happened there and if there's any change or opportunity for lowering your tax rate on a going forward basis?","I'm trying to end up looking like Jeﬀ Immelt, but I'll let Brian answer that question.     Thanks, Paul. Tax rate for the ongoing, the AEP utility segment was about 33.27% compared to the prior year and about 35.55% and it was lower as a result of lower pre-tax booked income and larger favorable ﬂow-through and permanent book-to-tax-diﬀerences.  We're always looking for opportunities to try and get that down as low as we possibly can and we're engaged in a number of tax planning activities to try and get that as low as possible. We're pleased that it's below what we had in guidance of a 35% range for the quarter and the year, but we're always planning and trying to ﬁnd ways to reduce that tax burden as much as we possibly can."
"But you're not going to change, we shouldn't change our outlook on the tax situation going forward, right?","I think it's always wise for you to assume a 35% rate, and if we come in lower than that that's a beneﬁt to our shareholders."
"Okay. With respect to customer switching, I guess Greg asked this question. You guys are now providing, I mean that's a gross margin that you guys had on that slide as opposed to the net margin. Could you just give us a little bit of ﬂavor as to what you think the net margin would be roughly speaking?","I'd rather give you some accurate data as best we can down the road. Paul again, I will tell you that it's considerably smaller than the gross margin impact."
"American Electric Power Co Inc (AEP US Equity)   Okay. The Ohio situation. We've seen the interveners ﬁle their testimony and it was all over the map, I guess, diﬀerent industrials and diﬀerent positions and what have you and OCC and what have you.  Is there any possibility that we're going to be getting a settlement? I know that others have suggested that, like Duke, and I'm just wondering whether or not is this going to be a fully litigated case and that's just what we should expect?","Well I would hope not. As I mentioned in my opening comments there, we continue to have what we think to be constructive dialogue. As you know, and I mentioned this as well, people ﬁle testimony to lay out what they think is their most preferred position, frequently knowing that they will never get there. But nonetheless, they do, and each and every time people do that, it does have an eﬀect on settlement discussions. I have every reason to believe based on what we're hearing in the give and take discussions with folks that these cases lend themselves to settlement and we'll continue to work diligently toward that end."
"And then just ﬁnally on the staﬀ, you mentioned that it's coming out today and with the old ESP that came out, it didn't really say much. It sounds like you guys are expecting them to give a more deﬁned position as to where they are actually, what the sort of full ESP format should sort of be like. Is that what you guys are sort of sensing?","Not necessarily. What I tried to say in my comments was just if you see something there that looks Draconian, you can react to it as you'd like but again that won't be the end-game and the dialogue with the parties, staﬀ included, have been constructive.  I think we're better than Congress at debt ceilings and cost reductions, but some of the conversations every now and again get a little worrisome, so we'll see what we'll see. I don't think it will be a crystal clear path of here is what we think the Commission ought to do.  It will lay out some of their positions and various issues, some that may be more aggressive than we would like and others that may be more supportive than others would have thought the staﬀ would have been, so it's certainly hard to forecast. I assure you they aren't sharing with us any drafts of what it is they intend to ﬁle. We'll get it the same time you get it."
"Okay, great thanks and I'm glad to hear you guys are at a better position than Congress.","That doesn't take much, Paul.   American Electric Power Co Inc (AEP US Equity)"
"Mike, I was wondering if you could just share thoughts on you laid out a big plan for the capital spending for environmental and the plans for retirement versus keeping. Could you share a little color on what was the regulatory response and the stake holder response to investment and closure decisions by states and whether you're going to see any changes or inducements maybe to change that plan?","Well, that's an interesting question, Dan, because the granularity that we've provided have allowed us to be on the point and catch any 1 of the number of arrows coming our way but I will tell you this.  We have not had a meeting with anyone in any of the states and/or in Washington, including the EPA, where there wasn't serious thanks for telling us exactly what your picture looks like. You can rest assured at the state level the governors and the House and Senate members as well as the local community folks are eager to see us change the plans.  I had an opportunity to speak to about 500 people at the Kentucky Chamber where the speaker of the House of the State, the Commonwealth of Kentucky who serves our Big Sandy area stood up and said, whatever you do don't shut Big Sandy down. Go about whatever it is you need to do, whether you are going to retroﬁt it, which would be their preference and/or convert it to gas and they will be with us as we go to the PSE in Kentucky to adjust the rates accordingly.  I think what we're seeing in our Eastern footprint for the most part are state leaders who are suggesting that they do not want to be at the whim of the market, nor do they want to be a net energy importer, because each of those 7 governors have already staked out the jobs and economic development are the plans for their success, so we see a great deal of encouragement.  I must tell you at meeting with the FERC, with the Department of Energy's Electricity Group, with the EPA, with the various NERC players and the RTOs, the NARUC folks. Everyone is saying thanks for the granularity and the honesty of your data, and we can see what you mean by there may be pockets of reliability impacts, and someone really needs to aggregate all that data so that you can see that going forward.   American Electric Power Co Inc (AEP US Equity)   And as you know, the Energy Commerce Committee and the House of Representatives has suggested in the TRAIN Act that that's exactly what the government does, so this is far from over with. It really is, and again, we are not in any way, shape, or form, although I know form, I know many NGOs don't agree with us in this regard.  We're not trying to change the environment, nor aﬀect the environment in a negative way. We're trying to balance the environmental beneﬁt that will come from retroﬁtting and changing the generation ﬂeet here in the United States with the economy of the United States, which we think is every bit as important."
