Question,Answer
"Just a quick question here. Starting maybe high-level, Leo if it's okay, with kind of the regulatory complaints from New Orleans. Do you have a sense for how the council wants to proceed at this point? I mean, obviously they're looking for input into everything from operational response to ultimate ownership of the assets. Do you envision a path where you don't own the assets anymore or on the contrary is there a negotiated outcome where the city authorizes incremental spending like more transmission interconnection funded by ENO customers to address their concern?","Thanks, Shar. I'd say ﬁrst of all, obviously what we've been doing recently with the council is we've got through the formula rate plan and got those rates in eﬀect. Both council as well as the LPSC and others as I had mentioned were all aligned on approaching the federal government for oﬀsets to customer costs through potentially CDBG funds. And then even in the future in terms of storm-hardening as it relates to infrastructure. So that's really been where we are in terms of what's been going on recently, our focus has been really on how do we get the next steps done in what's a logical progression to what we want to do and that is to support the credit of ENO.  As it relates to those other items, they're still out there and we plan to cooperate with the council as they go forward. In most of those instances, we're still wanting to hear from them in terms of what their objectives are as it relates to whether it's the ownership structure or what have you. So those are processes that they began and to the extent that they have objectives will work collaboratively with them to meet those needs. And we think that however it works out, it'll work out ﬁne for us and for them."
"Got it. Perfect. Thank you for that, Leo. And then just lastly for me and then I know you sort of touched on it a little bit around your prepared comments and it's been obviously an immediate question with investors is just around the storms and maybe the expenses that were incurred. Can we just maybe get an update on some of the other mitigating factors for customer bill headrooms and you obviously talked about volumetric growth and the macro backdrop. But there's obviously and also there's work you're doing with the LPSC in New Orleans to get federal support. But how are you I guess thinking about other charges rolling oﬀ and potentially having the bill headroom to continue kind of investing in CapEx, especially as we're seeing the 24 numbers in line with the 6% midpoint growth in '24? So, we assume this run rate remains healthy despite some of the near-term concerns around build pressure and escalating storm issues?","Yes. Shar, this is Drew. I'll tackle that ﬁrst and then I'll let Rod and Leo pitch in. So I'll mention a couple of things. First of all, the securitization is what we're moving forward with in Texas and Louisiana for the recent storm. But there's also a bunch of securitization is also still rolling oﬀ and that includes costs associated with Ike in Texas. I think that comes rolled oﬀ next year. Similar in Louisiana, Gustav and Ike are rolling oﬀ and even Isaac costs are going to start to roll oﬀ maybe in 2024. So those are relatively near-term that can take some of the pressure oﬀ of the securitization costs.  Also natural gas prices, there's been a lot of discussion about natural gas prices. Obviously, a lot of people are experiencing higher natural gas prices, it highlights some of the investments we've made in high-eﬃciency CCGTs, the diversiﬁcation in our ﬂeet for nuclear, it also highlights the stronger business case for solar. But the forward curve for natural gas is somewhat, as you know, backward dated and the prices get pretty low. In fact, if you just go out a couple of years our internal forecasts are higher than what the NYMEX curve would say by the time you get out to something like 2024. So that's -- we don't necessarily view that as a long-term problem. Certainly it's a challenge for our customers right now starting with winter storm Uri and the price spikes then. But we've already recovered all of those costs and we're moving forward.  And then ﬁnally for some of the growth capital that's out there, we highlighted the three areas associated with signiﬁcant potential investment. Starting with resilience and accelerating our resilience program, that's really kind of in lieu of future securitization to the extent that we can put more resilience in place than what we were already planning that would oﬀset these future securitization costs. So that's a diﬀerent portion of the bill so to speak than we would normally see. And then of course with renewables, the fuel costs the O&M associated with that and if you look at our capital plan we'll talk about this at EEI. There's been quite a bit of rotation in our capital plan in the generation space from CC -- future CCGTs to renewables.  And so, that's taking up bill space that we are already planning to use. And then, ﬁnally, the clean electriﬁcation as Leo mentioned in his remarks that includes incremental sales and that should provide space for that incremental investment. So, we believe that all of that should -- there are spaces for all of this to happen and even accelerate as we go forward in the next few years."
"Got it, got it. I think that was helpful. Thank you for that. Appreciate it guys. I'll leave it at that.","Thanks, Shar.    Operator  Our next question comes from Jeremy Tonet with J.P. Morgan."
"Hi, this is actually Brandon Travis on for Jeremy. Thanks for having me. First question, I'll follow up with the second one. Can you just comment on the build back better framework and the implications it may have on Entergy's in its current form? And then just particularly as it relates to nuclear hydrogen renewables ahead of your plan refresh at EEI?","Sure, sure. And there's a lot in there. Certainly as we look for support for things like hydrogen and support for things like existing nuclear, we view all of that -- in addition to continued support for renewables, we view all of that as positive towards our ability to keep a low cost proﬁle of the future beneﬁts associated with our capital plan. We're really -- really, I guess, I'll start by saying I'm cautiously optimistic that there will be an infrastructure, infrastructure bills that will be passed. It's -- every day there's new news, one way or the other in terms of how that's going, you here from.  But as you know, we are pretty well-positioned in the hydrogen space. We have a signiﬁcant ﬂeet of existing nuclear plants. We're deploying a lot of new renewables. So all of that focus on tax credits, particularly production tax credits is really we view that as highly supportive of what we are already planning on working forward with. And we would anticipate having the capability at least as we're interpreting things today, and I know there's a lot of devil in the details to come to be able to utilize as much of that as we can for the beneﬁt of our customers. But again, as you know, we're very excited about the hydrogen space.  As I mentioned in my remarks, we made ﬁling associated with getting the Orange County Advanced Power Station, which will be hydrogen capable approved in Texas, with all the hydrogen infrastructure that's around us that'll be very, very important for not only us, but for the industry as we look to utilize long-duration storage critical fact -- factor in anyone's ability to get to net zero by 2050. And I'd also say that's well supported by the fact that the industrial gas customers in our service territory are all exploring green, blue and pink hydrogen as well. And so, I think, speciﬁcally we'll have to see exactly where everything ends up, if it gets done. But we see it as really a wait for us to accelerate what we're already trying to do."
Great. That's helpful. Thank you. And then was just curious on what drove the delay on the Sunﬂower Solar project. If you could say that it was maybe supply chain related or if there's anything else speciﬁc that you can point to there? Thanks.,"Yeah, it wasn't really supply chain related, it is just some on-site challenges that our partner ran into. But we expect it to be constructed early next year and then we'll proceed on with it."
"Yes, the refundability and how that improves your credit metrics hopefully.","Yes, that would certainly help. It will also potentially change some of the investment proﬁle that we have because right now we're assuming tax equity partners for all of our own transactions to facilitate the investment tax credit today. And to the extent that there are refundable PTCs that are available and it's more economic for our customers, then I think that we would be moving more towards 100% ownership instead of something that looks like 70%, 75% ownership of each facility."
Got it. Right. So it's both capital opportunity and credit metric enhancing or you're saying it's not decisively credit enhancing because of the higher capital and you haven't updated the equity component yet either.,"Yeah. I mean, it probably helped a little bit but it's I don't know if it's going to -- it's more neutral I would think for us right now."
"Got it. Okay, that's good color. Thank you. And then separately a little bit further aﬁeld here. Any progress on transmission here and SIRI? I mean, I know that's been out there for a bit. Obviously we've got some others in the sector resolving or settling their issues here. Any thoughts?","This is Rod. Good morning. On the SIRI front, short answer is no. The litigation matters that have been pending for some time as we shared before, FERC doesn't have any speciﬁed timeline. We are hopeful that between the end of this year, beginning of 2022, we'll begin to see some resolution. I think, starting ﬁrst with the ROE cap structure matter. But the short answer is no, material changes because it's all in FERC's domain at this point."
"Alright. Excellent. Well, I'll leave to EEI to follow up with you further guys. Best of luck. See you soon.","Thanks, Julien.    Operator  Our next question comes from Durgesh Chopra with Evercore ISI."
"Hey, I'll cede it back to someone else. My questions have been already asked and answered. Thank you.",Thank you.    Operator  Our next question comes from Steve Fleishman with Wolfe Research.
