Question,Answer
"Just ﬁrst oﬀ on the funding for Questar, can you give a little more breakdown of how you guys expect the diﬀerences between corporate debt, Dominion equity, the converts and DM equity to be broken down?","Yeah, Dan. This is Mark. Let me go ahead and outline it further. We didn't have a slide on it but I think that's important question. We appreciate you asking it. This is how we view this currently, again, market conditions could change, but we expect to issue about $1.5 billion of incremental DRI debt to support the transaction. We also anticipate issuing about $0.5 billion of Dominion equity. We'll do that either through a dribble or a block trade sometime between now and when we anticipate a closing on the transaction. And then the remainder of the takeout will be a combination of mandatory convertibles at Dominion, which has been a very popular ﬁnancing vehicle for us with investors, and a drop into DM to support the 2017 EBITDA growth and distribution growth from a portion of the pipeline.  We have a bridge facility for all the ﬁnancing. As part of that bridge facility, we have a term loan commitment that extends well beyond closing that gives us signiﬁcant ﬂexibility for the MLP and when we might drop that. Right now, we said in script that we have no plans and no need to have a drop into DM in 2016. And the equity that we would use from the pipeline drop in 2017 is consistent with what we've said would be the EBITDA drop all the way back to February for the distribution growth to go 22% in 2017. So again, $1.5 billion or so DRI debt, a $0.5 billion DRI equity, and then the remainder a combination of mandatory convertibles at Dominion and MLP drop proceeds."
"Got it. And I guess, if you think about the size, if it was an even split on the residual value for the non-DRI equity and debt, that $1 billion-plus of DM equity is pretty signiﬁcant. How do you guys think about funding for that and the visibility of that raise given the relative size of DM today?","Well, again, I would not jump to the assumption, this is an even split. We'll have to see what the market opportunities are for both those instruments out there as we get closer. But I will tell you, Dan, that the DM currency that we IPO'ed last – a year ago October, I guess, is we had out there for about a year-and-a-half. We're actually buying a few shares back, as we disclosed earlier. There's little liquidity in the stock, and our large holders have told us they really want to see more liquidity. We are very conﬁdent that when we decide to come to market to support the 2017 drop that we can either do that in a private placement based on what we've been told by our holders, or in overnight transaction. So we're quite conﬁdent we can place (26:58) to drop, and as we get closer, we'll determine what size of mandatory convertible versus what size of MLP drop proceeds will be needed to fund the transaction. Keep in mind, again though, we have a term loan commitment well beyond closing that gives us tremendous ﬂexibility on when we would make a DM drop in 2017.   Dominion Energy Inc (D US Equity)"
"Okay. Just one last question. If we actually look at the full-year results for 2015 and we look at the guidance for 2016, when I compare midpoint of 2015 to midpoint of 2016 guidance range, it looks like more like a 3% year-on-year earnings growth. Can you just maybe dissect a little bit of why that number, the midpoint number is lower on a growth rate basis midpoint-to-midpoint for 2016 than maybe would have anticipated before?","Dan, we're still targeting a 5% growth rate year-over-year. We're not as quite as ﬁne-tuned as you are and others on midpoint-to-midpoint. What we try to do is give a range out there that guides to somewhere in the middle of the range. We use $0.05 increments, as you know. So as we look at $3.80 to $3.90 range, we think that's right in the 5% increase weather-normalized year-over-year, and as we get through the year, we will see if we can reﬁne that range for you."
"So I just want to be clear that when you said, you thought that this transaction was supportive of your EPS growth aspirations, and would get you towards the high-end of your growth aspiration by 2018, were referring to the 5% to 6% growth target through 2017 accelerating to 7% to 9% thereafter that you gave at Analyst Day in February. Is that right?","Dominion Energy Inc (D US Equity)   Yes, that is right, Greg. We haven't given any speciﬁc number for 2018 in terms of percent growth. So right now I think the best data point is the 7% to 9%. And as we said in our prepared remarks, that with this acquisition and the Cove Point full year contribution, we would expect to be at the top of that range or potentially exceed it."
"All right. Great. And in the underlying sort of pro forma expectations for Questar, I know you just discussed the ﬁnancing assumptions. Should we assume that you're basing your business – your base business case for Questar is based on their most recent public disclosures if you go back to their November analyst deck there, they have like $1.2 billion and the utility rate base growing 6% to 8% a year. They expect to earn their authorized return. They gave some details around the expected growth in infrastructure and returns on the FERC regulated transmission administering assets and a lot of detail around Wexpro. If we want to build our own forecast and merge it with yours, is that a fair place to start, or are there any signiﬁcant changes or synergies that you're baking into those assumptions?","I think on the distribution side we're very comfortable with that at 8%-plus growth. The pipeline, although it may – as you build your model, our view on the pipeline is, that is an asset that is signiﬁcantly undervalued. And as Tom reviewed the slides today, the opportunities mid-term and long-term on a business due to the increased gas needs in the west to deal with carbon rules and renewable mandates, we think that number will grow more signiﬁcantly over time.  And on the Wexpro gas supply side, we are taking a view on that business that we are only going to invest in capital that has been regulatory approved in the state. We view that as a gas reserve business similar to what many other companies are trying to get in their rate base, which they've had for 35 years. So we see that business as they've outlined it is (31:15) over the next several years unless markets were to change, and the growth in the distribution pipeline business picking up.   All right. Greg, I would just add a thought about the pipelines that Mark mentioned with respect to coal. We spend a lot of time, as you know, at Dominion analyzing the Clean Power Plan, its impacts across the country, how important gas infrastructure is going to be, the compliance with Clean Power Plan. Atlantic Coast Pipeline is the key component of that in Virginia, North Carolina for now. And there is – Wyoming and Utah both are almost 80% coal-ﬁred generation, provide electricity for their citizens. So I think there's a lot to look at in that region over the next decade."
"Got you. Switching back to the core, talking about the core business and the earnings guidance for 2016, there is a fairly large contribution I think coming from the success you've had building out your utility scale solar business. I mean, do you have visibility into 2017 on the solar business, or should we be expecting that that contribution is signiﬁcantly smaller but more than compensated for by the accretion from core business investments plus the Questar deal?   Dominion Energy Inc (D US Equity)","Greg, it's going to be considerably smaller than 2016. When we announced this deal we said it's a quarter of our 2017 growth rate, and because of that it will allow us to not rely as much on ITCs in 2017. For planning purposes, and this will be ﬁne tuned, throughout the rest of this year into next year, but I would expect something in the $0.10 to $0.15 range in ITCs for 2017 which is a dramatic increase from 2016."
"Thank you. On that same question, what were 2015 actual ITCs, and then what's your projected 2016 ITCs in your forecast?","Steve, 2015 earnings per share basis were about $0.24, and for 2016 they're going to be between $0.30 and $0.35."
"Okay. And stepping back, Tom, you have generally kind of not wanted to talk about utility M&A so to speak, you focus very much on DM. Now, that you are doing a transaction that's more utility-ish, maybe you could give us a little bit more of your strategic thinking on utility M&A, why are you even doing it at all given you've got very good utility to begin with? And also just, should we view this as more kind of like an opportunistic thing or something that you plan to kind of continue to want to pursue strategically?","Well, Steve, thanks for the question. I guess, I don't view it as being a utility-ish combination. What we've said since our investor conference in February that we will be actively looking for assets to add to our MLP. And we have been doing that, as you know, we added portion of the Iroquois pipeline to our portfolio. We added the Carolina Gas Transmission system. We were particularly attracted to Questar's assets, largely because of the pipeline. We're perfectly happy with the LDC, which is one of the fastest growing LDCs in the country. Utah has often been   Dominion Energy Inc (D US Equity)   ranked as the number one state in which to do business, and Questar Gas is a fast-growing LDC. And it has very similar attributes to East Ohio Gas. But it was the MLP-eligible assets that particularly caught our attention. And after we took a hard look at the region's Clean Power Plan goals, or targets, that the EPA has imposed.  So this was a pipeline that's going to have a lot of growth opportunities and a very well-run, active-in-the-community, safety-conscious workforce at the LDC. So we're not looking all over the place trying to buy anything. We're looking for, as we said from the beginning, MLP-eligible assets. This takes care of – we don't need anything – we have with this – 2016 is already taken care of. This takes care of 2017, part of 2018. Blue Racer, if it's dropped, will be in the 2020s sometime. So Dominion Midstream Partners has now available to it a long, long runway of contracted long-term gas infrastructure assets with zero commodity risk in them. So I think it's a tremendous acquisition, also for the purpose of Dominion Midstream Partners, or unitholders. So all in all, I wouldn't necessarily view it as, like, we decided we were going to get interested in utility M&As. In fact, it's the same things that we have said since February."
"Okay. And even with all the distress in midstream, it's still, there's still more to ﬁnd in owning – doing this more through someone that's got a mix of utility midstream and not buying into direct midstream companies or assets?","We found this when we think this is an outstanding acquisition for both, or combination for both Dominion and Dominion Midstream Partners. A lot of – as you know, there's a lot of distress, as you put it, in the midstream areas. This is a company that's distressed. It's very well run, and what we like particularly about it is the nature of the assets, long-term contracted."
"Okay. And then the rating agencies – basically given your ﬁnancing plan, have you gotten kind of conﬁrmation of your ratings based on this, no changes?","I think that you should expect the agencies – well, ﬁrst of all, Steve, we met with agencies well ahead of the announcement to walk them through the plans and the metrics that this combination produce. And I expect both of them to come out very shortly with an opinion. I don't want to get out in front of them on that but we had very good discussions with them, and they clearly understand where we're going and the value of this transaction for us."
