Question,Answer
So I'm starting on sort of the commercial news. There is a lot of renewable assets out there for sale right now. I guess what prompted the process? Why now? Did you get unsolicited oﬀers? And maybe just ﬁne [ph] tuning on timing as we're thinking about presentation packages being sent out and data rooms being set up. Thanks.,"Sure. And you know, Shar, what I would say on timing is we have been looking at this for some time. I think you have known us to review our portfolio and make strategic decisions about the future a number of times in our history. And this is no exception to that. As we look at the pipeline of regulated investment that is in front of us over the next many years, we believe this is the right time to step back and really look at the strategic ﬁt of the commercial business, because there is going to be competition for capital at Duke.  And we think we operate a very strong commercial business that can grow and grow well in the future. And we want to take the opportunity to evaluate as we're a better strategic owner at this moment. And as I think about other portfolios in the market, I believe there will be a robust market for these assets, given that it's not only operating assets, but also the development pipeline, a platform, a team of very capable developers and operators. So I think they have the potential to add a great deal of value.  And if I focus just a moment on the pipeline, we have a gig to a gig and half of near-term projects that could be quite valuable in 2024, 2025, in addition to what we had planned for   Duke Energy Corp (DUK US Equity)   2023. So when we think about our timing for execution, we commented that we will be completing the strategic review by the end of '22 into early '23. We will move quickly to get information into the market. There is an interest in these types of assets from a broad range of buyers and would hope Shar to have more to share as we think about third quarter EEI, and then moving into February of next year."
"Got it. And then just from a numbers perspective, I know you've highlighted that there could be a time in the future where you could need some equity to fund the incremental regulated capital growth opportunities that are out there for you. Could this potential sale, I guess, provide enough balance sheet capacity in and threshold improvements where future equity needs are oﬀ the table, even as capital growth opportunities accelerate. And just remind us what the basis in tax leakage is on the asset? Thanks.","Yes. So, Shar, it's a really good question. And as we look at our potential to accelerate and what we believe the potential from this transaction represents, we do think it would postpone equity into the future. But I think we're getting a little bit ahead because I don't want to comment on value. We have given you an indication that we think the right bias right now is to use the proceeds to avoid debt. It's a high interest rate environment, inﬂation, a variety of other uncertainties around the economy. But I do think it strengthens the balance sheet at a moment when we see accelerated capital and that would lead to a period in which we can delay any further equity issuances.  On tax leakage, let me turn to Steve just to make a comment on that.     Yes, Shar, a couple of comments here. The book value of this body of assets is approximately $4 billion and that would include about $1 billion of tax attributes. And we don't see any signiﬁcant tax leakage, if a transaction were to occur."
"Got it. And then just one last one from me and I'll jump back in the queue, Steve is, there is a viewpoint that you may need to re-base. I mean is that a scenario or do you feel that just given the robust nature of the process and the demand for renewables that you could more than sort of oﬀset, sort of that lost earnings and maintain the current trajectory? Thanks.","So Shar, I don't want to comment on 2023 guidance at this point. I feel like the process is thoroughly -- we're going to be testing the market on value. We have given you a sense of how we're thinking about use of proceeds at this point. But what I would point you to is if we are successful in executing a robust transaction, which we have every conﬁdence, we will, then Duke Energy lessons volatility, we increased transparency, we draw focus and attention to this   Duke Energy Corp (DUK US Equity)   regulated business, which I would say is one of the strongest franchises in the US with 5% to 7% growth and the ability to earn at the top half of that range as we deploy capital and move through the regulatory modernization that sits in front of us.  And so I think that's the real takeaway. We'll keep you informed on this process every step of the way and bring guidance at the right time. But I think there is just a strong pipeline of investment and a strong conﬁdence in our ability to grow 5% to 7% on the regulated business."
Great. Fantastic. Thank you guys. I'll pass it to someone else. Appreciate it.,Thank you.     Thank you.  Operator  Your next question comes from the line of Julien Dumoulin Smith with Bank of America. Your line is open.
"Duke Energy Corp (DUK US Equity)   Absolutely. Just to keep going on the stop process, I mean obviously this has seemingly been in some thought for a little time. How do you think about the accretion dilution and the commitment of pursuing this through. And then related to that, just again given some of the use of proceeds considerations, is there a potential that this ends up taking some time? (indiscernible) to align with some of your CapEx needs through the course of the decade. I guess just thinking about some of the parameters here.","Yes. And Julien, I'm not going to comment on value. I think we're too early in the process, we're testing the market. But we do believe we have a very strong set of operating assets, development pipeline, etcetera. We've given you an indication of use of proceeds. So I'd like to leave the comments there. And that's as the process progresses, we'll move forward to give you more information. The second part of your question -- lost the train."
"Well, I was just thinking about use of proceeds and perhaps elongating it to align with your CapEx. Again, more of a pushing you on the parameters that you alluded to a moment ago.","Yes. So, the use of proceeds, as I said in my comments to Shar, our bias right now would be to use the proceeds to avoid debt. But Julien, as the review progresses, we get a better sense of the market, where sometime in '23 likely we will ﬁnalize that decision and keep you informed every step of the way.  And as I think about the way this will work when we reach a decision, we will likely move the business to discontinued operations. So the Commercial business would come out. We would give you very clear guidance on the regulated business and we'll give you a sense of use of proceeds so we can put all of those various pieces together. And we will do that when we have progressed far enough in the strategic process to have a sense of how to guide you into 2023. But I would point again to -- this gives us an opportunity to really draw a great focus and attention on the regulated business which is poised to continue to grow at a very healthy pace.     Got it. Actually, I'm sorry. Sorry to keep going on some of the core operations here, just with respect to some of the other moving parameters at present, any initial thoughts on the AMC impact from IRA? Again, I guess that's a moving target itself. And then related obviously continued successful on cost mitigation, and kudos Steve, just with respect to that, again, feel fairly good about the outlook.of '23 onwards, in some of the earlier comments that you've made, again, I get that the gross level of inﬂation is potentially accelerating against what you guys had previously thought, establishing your EPS CAGR?      Duke Energy Corp (DUK US Equity)   Yes. Julien, we feel very conﬁdent in our ability to execute on cost mitigation. And I think if you track back COVID and even prior to that, dating back to '15 and '16. We have consistently managed our O&M trajectory in a way that's not only been helpful to investors but helpful to our customers. It's been a part of keeping our prices low in all of our jurisdictions.  We are looking at the Inﬂation Reduction Act and we see meaningful beneﬁts to customers from the renewable tax credits, the recognition of nuclear, the incentives around critical infrastructure. We will be impacted by the corporate minimum tax, but we will also beneﬁt from the credit, which will pass through our customers.  So we are in the early analysis of this, as I know so many others and we'll be tracking it closely, as you would expect us to."
"I just wanted to ask, just go back to CEB quick and I'm just thinking to -- about contribution in total, like, what is the EBITDA for that business? And then, also, last quarter, I think you commented that CEB in 2023 would be somewhat ﬂattish to 2022. So we've had some relief via AD CVD there. So I'm just trying to think what is like ultimate loss earnings for those assets in 2023? How we should be thinking about that?","Yes. Nick, thank you for that. Our target for 2022 is around $150 million of net income, which we kind of stepped down the contribution at the end of last year as we saw some of the challenges in the supply chain and panel availability, etc.  We also in the last calls, we see a trending more in line with that for 2023 because despite the favorable executive action, the delay and uncertainty that was created during that period of time really pushed execution of projects from '23 into '24. And so, I'll leave it there, I don't know, Steve, if you would add anything to that?     No, I think that's correct. We had stepped down the contribution for those years in light of the supply chain issues and we had kind of capped the earnings throughout our plan, prior to that, in the $200 million type range per year and stepped it down for the recent supply chain issues. So that's I think about is in that fashion."
"Okay. So just run with the $150 million. And then, do you have EBITDA for that business that you're willing to disclose or --?","I'll leave it at that, the $150 million. And you know Nick, Jack and the IR team are available for any further follow-up on speciﬁcs."
"Great. No, thank you. I appreciate that. And then I guess I just.","Duke Energy Corp (DUK US Equity)   Thank you.     All right, thank you.     Thank you."
Just wanted to look forward to the ESG Day on October 4. Are there any kind of updated metrics or any other kinds of messages we should be looking for at that point in time?,"Jeremy, we're really looking forward to ESG day because we've had -- over the course of this year, a chance to give you some visibility into new targets, right? So we added scope two and scope three emission so you can expect to hear more from that. We've also ﬁled our carbon plan. We've also continued to progress our integrated resource plan in Indiana and have continued to build solar in Florida.  So, we will give you an update on what all of that could mean. You can expect ranges of capital to be discussed as we kind of take all of these plans and do a more ﬁnancial perspective at ESG day. And then, of course, we'll comment on some of the social issues around environmental justice, just transition, aﬀordability, which is increasingly important, and then, of course, governance. You can expect to have a member of our Board join the conversation. So I think it, it'll be a great day to really hone in on the clean energy transition story that we have here at   Duke Energy Corp (DUK US Equity)   Duke. We're not only making good progress, but we have good plans and targets in place in all of our jurisdictions to continue that work."
