Question,Answer
Hi. Good morning.,"Good morning, Julien.     Hello, Julien."
"Hey. So, let's just walk ﬁrst through here some of the assumptions baked into your new long- term CAGR, if you will. Can you clarify the sales growth embedded in that? And speciﬁcally here what I'm getting at is the latest energy eﬃciency program. Is that factored in and to what extent does that impact your assumptions in the program? And then separately, just to be very clear about this, no cash taxes through that new period as well, correct? And then perhaps a third point, if you will, what are the assumptions baked in in terms of treasuries in that 5% to 8% CAGR?","Sure, Julien. All good and reasonable questions. So, let's start with the growth rates. As we announced today, 5% to 8% expected compound annual EPS growth from 2016 through 2020. Obviously, the key there, the big driver is rate base growth. And as we announced today, we've got 6.5% compound annual rate base growth planned for the period 2015 to 2020, which obviously is smack in the middle of that earnings per share growth range as well. And that rate base growth is the foundation. And we'd say that – I'd say that that growth rate of 5% to 8% incorporates a range of outcomes in terms of treasury rate assumptions.  As you know that, over time, in our planning, we look at consensus estimates for growth in the 30-year treasury rates, which today, I think economists are expecting it to rise about 200 basis points between now and 2020. But when we look at that growth rate range, it accommodates a number of alternatives both that increase in treasury rates over time as well as even a low interest rate environment like the one we're in persisting over this period of time. So, it incorporates a range of outcomes in terms of treasury rate assumptions ROEs, regulatory decisions, changes in economic conditions, et cetera.  In terms of sales growth, our – embedded in our forecast over this time, it's about ﬂattish sales growth through this period. But for the energy eﬃciency programs, we would expect to see modest growth. But as a result of the programs that we've got in place, we do expect it to be pretty ﬂattish over this period of time."
Ameren Corp (AEE US Equity)  Got it.,Did I miss some of your questions?
"Then in separate – oops, sorry, go for it.","I was going to say, did I miss any of your questions?"
Cash taxes just to be clear.,"Yeah. Just to be clear, with bonus depreciation, which, as I mentioned on the call, had an impact of more than $900 million. We now don't expect to be a Federal cash tax payer until 2021."
"That's what I thought, excellent. And then a – just a brief follow-up if you will. What is the expected impact on the balance of your customers given what's going on with Noranda, how signiﬁcant of customer inﬂation are we talking about here or potentially?","Yeah. I think it's premature really – and it's really premature I'd say get into that. We'll – and as we mentioned on the call, we're going to obviously watch the Noranda situation closely, pending conclusion of the legislative process, expect to ﬁle a rate case, and I think at that point we'll see what that impact might look like."
"Great. Last detail, since you mentioned it, what's the test year on that rate case you're thinking?","Really premature to get into that too, Julien. Look, I think that what's happened with Noranda and their outages are very recent, certainly unfortunate. We're watching the situation closely and making plans for the potential of ﬁlling of that rate case, but it'd be premature get into what the test year would be at this time.   Ameren Corp (AEE US Equity)   Clearly, as we do think about that case, we are thinking about the situation with Noranda and also thinking about capital expenditures, rate base that we have planned for later this year, as well as other cost drivers of our business. So all of those things are not going into our thoughts about the timing of that rate case, and as you mentioned things like test year considerations."
"I apologize. One slight clariﬁcation. You said 200 bps over the period, that's 200 bps over the 3.2% one you embedded in your current year?","No. I'm saying that I think where economists are today, Julien, out in 2020 is around that 4.8%. So, it's about not 200 basis points above where the current 30-year Treasury really sits today."
Okay. Great. Thank you.  Operator  Thank you. Our next question comes from the line of Paul Patterson from Glenrock Associates. Please go ahead.,
"Good morning, guys.","Good morning, Paul.     Good morning, Paul."
"On the long-term growth rate, if you could – how does the Missouri legislation – proposed legislation, ﬁt into this? Are we talking – I mean, in the 2% rate-based growth, does that include – how does – I guess let me ask you this, what's included in terms of the potential legislative outcome in the growth rate? That's what I'm asking.","Yeah. Sure, let me – Paul, let me talk about that. Consistent with the guidance that we've provided in the past, and as you look at this new guidance, it is not dependent upon any   Ameren Corp (AEE US Equity)   change in the regulatory framework in Missouri. We've had – we had about 2% rate-based growth guidance in our prior guidance. We've got about 2% rate-based growth incorporated into this guidance.  And, as we mentioned on the call, have incorporated into the capital expenditures in Missouri some incremental cost of compliance with environmental regulations. But it doesn't – the growth rate that we've got here, both in terms of the rate base, as well as the earnings growth, isn't dependent upon some change in the Missouri regulatory framework."
