Question,Answer
"I've got a couple of questions. First, can you comment on the staﬀ position that was recently ﬁled in your capacity case, which I know is separate from your ESP ﬁling? I know that they made some opinions on what they felt was sort of a fair capacity rate, and while I know that's completely independent from the ESP case, I'm wondering if we can take anything from that as it might -- as the ESP case unfolds?","Well, the capacity rate they came up with was actually pretty reasonable; it's the adjustments that there are some concerns with. And we expect to get their work papers here Friday, and that will be helpful to us in terms of determining how exactly they came up with those numbers, but since that case is -- the hearings are ongoing now I'd be hesitant to speculate on it, but certainly we will review that, and see what the eﬀect will be.   American Electric Power Co Inc (AEP US Equity)"
Right. Because it appears that they come to the conclusion that your sort of tier 1 capacity rate seems reasonable but they didn't opine on the level of your tier 2 -- what a tier 2 capacity rate might be. Is that fair or unfair?,"Greg, I think the $145 that they netted to is clearly below what we'd view as acceptable. I think the $255, which is -- and they had something close to that on an adjusted basis before they took some adjustments that were probably overstepping, is probably closer to what we'd consider to be reasonable."
"Okay. Great. Second question, where do you stand in your current pending FERC ﬁling, and what is the expectation that we might or might get a decision on that case?","On the FERC capacity case you mean, Greg?"
"Yes, correct.","Well, that capacity case is in, and we are waiting on the FERC response to it, and we're obviously unable to tell when FERC would actually render an order, but the case certainly is there and ready for them to render an order."
"Okay, thank you, gentlemen.","Yes. Thank you.  Operator  Thank you. The next question comes from the line of Dan Eggers, Credit Suisse."
"American Electric Power Co Inc (AEP US Equity)   Hey, good morning, guys. There is so much going on in Ohio in the quarter as far as ESP on and oﬀ, can you just help detail what would've gotten picked up in First Quarter results from kind of the ESP plan and what the reversals were around cost and that sort of stuﬀ that aﬀected the First Quarter results?","Do you have the data?     I do. So, Dan, obviously we detailed what the customer switching is, and that's reﬂective of current capacity prices that are in play. There was some pick up in transmission operations on slide 11, as we picked up some of the -- they are paying us for generation and transmission, and some of that migrates to the transmission line on slide 11. And then, of course, we noted in O&M, a previously recorded regulatory obligation. That has to do with about the $35 million partnership with Ohio Component. So it's really those pieces. It's the customer switching and the partnership with Ohio Component."
"Okay, and Nick, you talked about comfort with the environmental CapEx plan, the updated CapEx plan. With the amount of coal to gas switching you guys are seeing and a lower run rate on the coal plants, are you reevaluating that plan one more time before making any ﬁrm decisions, given the lower economic value presumably --?","Yes, Dan, we continue to look at the options that we have available to us, and obviously, we've committed to capacity in PJM, so it's a matter of how much we have to utilize those units. And obviously, they are being utilized less. As Brian said, the capacity factors are much lower. So that gives us some optionality in terms of how the units are operated during the year, and then in terms of retirements, we are looking at the dates associated with those as well. You have the -- and really it's a question of whether you need the capacity and does it stay online to 2014 or 2015 or even 2016. But if the gas market is lower and capacity becomes available, than we would have to look at those options as well. So we are looking at that on a regular basis, and what those options can be. I was just saying that in the worst case, it appears we are okay from a capital perspective and then, if we do get extensions or if we decide to convert to gas in some fashion with gas burners or whatever, we will have that optionality to do it. So it really is a capacity and energy question."
"Okay and Brian, just one last question on the cost management. Of the 80, the 35 was the reversal, and 45 was better cost management. Is that something we can continue to expect will happen on a quarterly basis for this year? Were there some things that pulled out that we would assume more of a normalization in cost?   American Electric Power Co Inc (AEP US Equity)","No, absolutely, Dan. I think you have always heard from us that if weather and oﬀ-system sales and regulatory aren't coming in as we had forecast they would for the year, and all three of those things are true for this year, that we would manage our O&M accordingly. So, we are currently in the process of A, having cut some signiﬁcant components of O&M, but we're in the process of evaluating how we've not do that more aggressively. Not just for this year, but really, as Nick has talked about in the past, trying to reposition the cost structure of this Company for the competitive environment that we are moving into.     I think that's one basic tenet of the February 10 discussion we had around capital and O&M discipline, in response to the environment that we are in. There is no question that where we are at in the economy and as we follow along with that, along with the other issues that we have ongoing, we have to be able to be ﬂexible from that spending standpoint. And again, it's in the overall context of that repositioning of the Company to those growth areas, and we are very focused on, during this year working on those activities. So we want to reinforce resources for those growth areas, and certainly at the same time, evaluate the rest of the organization and make sure we're being as responsive as we can to the operating companies, which really goes to the operating company model."
"Got it, thank you, guys.","Thanks, Dan.  Operator  Thank you. And next go to the line of Paul Ridzon from KeyBanc. Please go ahead."
"When you talk about your residential and commercial being down on a weather norm basis, is that being distorted by shopping at all, or is that deliveries versus kind of generation sold?","Paul, that's total connected load, so it's not being distorted at all by customer switching."
