Question,Answer
"Good morning, everyone. Actually this is John [ph] from Michael.",Good morning.     Good morning.
"Good morning. Sir, quick questions we see on the merger. Can you elaborate a little bit more on what conﬁdence you have in terms of synergy and business opportunities in that merger, given the physical distant between the companies?","Yeah. The way we look at this is, we look at opportunities for revenue synergies between our unregulated businesses. They have customer lists, which can beneﬁt the combined new business mix, so that creates revenue opportunities we have with any corporate public merger of this size, you would obviously have opportunities for streamlining and eﬃciencies. And if you look at just the number that we put in here as a placeholder of $50 million to $100 million of pre-tax, that's a fairly small number compared to the revenue elements of the unregulated businesses as well as the combined O&M budget of the two companies. So, we think this is very achievable."
"Right. Okay. Thank you. So on the total FFO to debt, can you remind us what kind of range of the combined entity, you indicated 15% upon the closing of the merger, and what range will be -- you will be comfortable and plan to improve that ratio in the future?","That's right. Subsequent to the merger on a forward-looking basis, we see 15% FFO to debt, as calculated by the rating agencies, and that should gradually improve over time."
"Okay, great. Thank you very much.",CenterPoint Energy Inc (CNP US Equity)   Yup.  Operator  Our next question comes from Greg Gordon from Evercore ISI.
Thanks. Good morning. Great quarter in the core business. Congratulations on a good start.,Thank you. Good morning.
"Sorry to circle back on this, but frankly you guys have paid a pretty signiﬁcant premium to have the opportunity to merge with Vectren and the business is -- core utilities are excellent businesses, there is no question about that. I'm just less familiar with their unregulated businesses and since the secret sauce here in terms of earning back the merger premium seems to be in the synergies, you think you can generate in the unregulated segment, could you just please, if you can, talk about what sort of the natural industrial logic is to the synergies there? And why you believe that combining those businesses your current Energy Services platform and their VISCO and VESCO businesses creates that type of opportunity?","So, Greg, I think to your point, it's a mix of revenue opportunities as well as eﬃciencies from combining two companies. So it's both of those pieces, but the piece you are asking about speciﬁcally is the opportunities associated with these unregulated businesses. They have a -- Vectren has an infrastructure business that works with utilities from around the country, they're in over 30 states. We have a gas business that also interfaces with similar types of LDCs as well as other companies across similar number of states, but not exactly the same states. The ability to bring in services to the utility that's both infrastructure and gas sales oriented is presented by the combination of these businesses. Further when infrastructure -- the infrastructure business goes in to do work for replacement of pipelines, sometimes there is need for continuation of service to customers, we have a group within our Energy Services space that can continue to provide gas service while that repair or replacement work is being done. So we could combine opportunities in that regard as well. Those are just a couple of examples."
"Great, thanks. And it dons upon me just looking at the algebra here that you're targeting 5% to 7% long-term earnings growth, but the math here, if you were to hit the high-end of the synergies, would obviously be signiﬁcantly above 7%. So is that -- am I missing something there, because it seems really obvious? And then second, what are the underlying assumptions you're using with regard to Enable earnings contribution when you think about that guidance?   CenterPoint Energy Inc (CNP US Equity)","Well, as you know, Enable only gives guidance for the year. So we've incorporated a range of possible outcomes for Enable beyond the current year, as we think about this growth rate. You are correct though, that if we were to hit the high-end and you did the math, the growth rate would actually be higher than the 5% to 7%. What we were trying to illustrate is that, with respect to our current guidance of 5% to 7% per year growth for the next two years, this merger creates the opportunity for us to be accretive to that."
Great. Thank you very much. Have a good day.,Thank you.  Operator  Your next question is from Ali Agha from SunTrust.
Thank you. Good morning.,"Good morning, Ali."
"Good morning. Scott or Bill, as you're looking at ﬁnancing for the Vectren transaction, can you give us some sense on how are you thinking about the equity portion of that, Bill, and the timing we should be looking at in terms of any milepost in your mind?","Ali, all I can say on the timing is, in advance of closing the acquisition and in the respect to the forms of equity, as I said in my prepared remarks and as disclosed on the slide, common equity and consideration of other high equity content securities such as mandatory convertibles."
"Okay. And then on the CES business, as you mentioned, you beneﬁted from some spikes in weather, which caused a very strong result this year, it's caused you to raise your guidance, what's the visibility or conﬁdence level that -- of that higher base you can continue to grow or   CenterPoint Energy Inc (CNP US Equity)   do you think, I mean, just given the nature of that business, does that include or create a level of volatility, even though just small piece but a level of volatility to your earnings. That's diﬀerent from your base core utility business?","Ali, the way we look at is, we look at it is opportunity presented by some variability that we think is more normal or natural in the market. So to that end, as we think about the projection we provided for this year, we look at the business as being able to outperform that next year."
Outperform the next year. Okay. Thank you.,Yup.  Operator  Your next question is from Julien Dumoulin-Smith from Bank of America Merill Lynch.
"Good morning, everybody. It's Josephine on the line for Julien.","Good morning, Josephine."
I just wanted to follow-up on -- you mentioned more equity issuance in 2019 and 2020 to fund the growth. Would that be for incremental CapEx opportunities from the combined unit or would that be CapEx already in the plan?,"Josephine, good morning. It's Bill."
Hi.,"CenterPoint Energy Inc (CNP US Equity)   We've discussed in our call in February that due to our increase in rate base investment, we should think about more equity in our capital structure and our view would be that that could be provided by sales of Enable units in 2019 and 2020. For the purposes of the model that you have in front of you in this presentation, we've just assume that that's common equity."
"Got it. And then in regards to Energy Services' strong results this quarter, I was just wondering as part of the restructuring in the capital structure where will Energy Services sit? Is that going to be part of CERC or is that going to move separately?",I think that is to be determined.
"Got it. Okay, great. That's all in my end. Thank you very much.",Thank you.  Operator  Your next question is from Jonathan Arnold from Deutsche.
"I think you guys hit most of my questions. Yeah, just the Energy Services. But I would like to probe a little more on -- the level you all now talking about for 2018 is sustainable going forward. And in the prepared remarks it sounded like you were talking about being the result of volatility in the market and how do you say that's -- what you now see is more normal? I mean, it's a very signiﬁcant uptick in business that have been going along at a certain level. I just want to understand a little better. You know, if we do (multiple speakers) Go ahead.","Jonathan, this is Scott. Let me try to clarify that a little bit. A component of why the business did better was related to what we think is a more normal volatility. The majority of the improved performance was, what I would consider base business that has to do with the addition of customers and improvements in margin. And that is the result of eﬀectively integrating the two acquisitions we made, the most recent one having been AEM. So that's what is the primary driver of the improvement, which we think is sustainable going forward. There was an element in here though that was caused by some weather-related volatility that we were able to take advantage of.   CenterPoint Energy Inc (CNP US Equity)"
Okay. So mostly sustainable eﬀectively?,Yes.
