Question,Answer
"Hey, good morning, team. Thanks for the time and the opportunity to connect. I appreciate it and thanks for the details to the call.",Good morning.
"If I'm just going back -- good morning, indeed. If I can go back super quick to the -- the solar CapEx here in the conversation very quickly. I think the key point was your in-line from '22 to '23, so kind of at that 150-ish level for -- for '23. Again you said if delays persist. Can you elaborate a little bit more about what that would look like if delays persist? And also if you can -- can you recap for us a little bit on the earnings recognition? Just how should we think about that -- that the weighted sort of average of across your portfolio, how much of that ITC has been captured in that ﬁrst year if we think about sort of the mechanics behind that -- that impact that you have?","Sure. And Julien, I'll take a shot and I'm sure Steve will have some things to add. I think the headline that I would like to leave with you is we are on track in 2022 for both commercial and regulated renewables. So, the -- the earnings that we have been talking about the adjustment that we made to 2022, we are tracking exactly to both of those.  For 2023, we continue to prioritize our regulated renewables and they are on track. As we look at '23 for commercial, there is some uncertainty that's been created by this investigation really around price and how that price is going to ultimately impact project economics. So, we are planning for a range of outcomes and what Steve shared with you is that range could include something comparable to 2022 if the delays persist or we have the potential to do better than that as clarity occur soon enough so that we can keep projects on track. I think it's important to   Duke Energy Corp (DUK US Equity)   recognize that this is a minor amount of capital in the construct of Duke Energy and so as we think about 2023, we are conﬁdent in our 5% to 7% growth rate. So, on income recognition, I'll turn to Steve to talk a little bit about that, Julien, and then we can circle back and see if we resolve these questions.     Right. Julien, on the ITC recognition, the past couple of years the projects we've been looking at are three to ﬁve years in that range depending on the tax equity arrangement, but we've been in that range. The accelerated depreciation beneﬁts have been overall perhaps ﬁve to seven type year spread. That's what we've been looking at, but again as projects move we look at what the needs are and what makes sense to the tax equity partner as well. But that's -- that's kind of where we've been."
"Got it. Okay, fair enough. It just a disclaimer there. So, how much of that would be shifting if you can shift it, I don't know, half of your portfolio. How much of that impact that's '23? Just maybe clarify that? And then a second question, if I can. Go forward, Lynn, please.","Yeah. We were trying to share, Julien, is if we do end up shifting, our expectation is that '23 would be in the range of '22."
Yeah. Got it. Yeah. Forget the part of my question is focused on the plan for -- for this year.,"Yeah. And then as we look out 2024, we believe that gives suﬃcient time hopefully if we need supply chain issues to resolve themselves more clarity on price. And we also see a ramp up in regulated renewables by the time 2024 rolls around. So, we're talking about moving a few projects in the Commercial from '22 to '23 if this uncertainty persists. The more of course be monitoring and updating along the way."
"Right. Yeah. Clearly inevitably the timing-related issue, but I very much appreciate that. Just a super quick second question. Just treasuries, you guys have the sensitivity in the slides, et cetera. Could you comment about the impact to your business today from the move-in rates that we've seen? Again lots of diﬀerent ways to take that. Lynn, where would you go with it? I know you get this -- this $0.12 (inaudible) really out there?","Duke Energy Corp (DUK US Equity)   Yeah. And $0.12 is -- is not a high end, Julien, as you would expect because we're experiencing that interest rate really on short-term at this point and it's all are averaging in the long-term rates, but Steve can take you through speciﬁcs.     That's right. We gave a sense of it -- sensitivity based on variable rate securities in the portfolio, but we -- some things that we've done to mitigate that very signiﬁcantly have we've increased hedging over the past year-and-a-half on some of the securities that we knew we were going to be issuing in '22. We've got around 30% of the securities hedged for '22 and we've hedged even some in -- in '23 that we know we're going to occur.  So, utilization of that we've been opportunistically going into the market working with tenure and timing which given our scope and scale, we can do pretty well. So, we have signiﬁcantly knockdown of the $0.12 impact to -- to the plan that you might see through those techniques."
"Got it. Okay, guys. Thank you all very much. Really appreciate it. Good luck.","Thank you, Julien.  Operator  Thank you, Julien. Our next question comes from Jonathan Arnold with Vertical Research Partners. Jonathan, your line is now open."
"Hi, good morning, guys.","Hi, Jonathan.     Good morning."
"Quick one on -- on the carbon plan. Obviously, appreciate you're going to tell us more about that and tells us more about that in a bit. But then you mentioned, there will be several diﬀerent options and now encompass diﬀerent technologies, but would you expect to make a deﬁnitives   Duke Energy Corp (DUK US Equity)   like preferred portfolio recommendation with your ﬁling or -- or is it more a range of options and then the Commission is going to take that decision on which one to choose?","Jonathan, it's a latter. We're going to present a range of options on the 70% reduction and then that will be the subject of public hearings and reviewed by the commission and ultimately it would be the Commission's decision on pace technologies, price implications, et cetera. And those portfolios reﬂect the input from stakeholders, so we've had three robust stakeholder meetings, we've also had a series of technical conferences to dig more deeply in to topics that are relevant to the carbon plan.  So when we ﬁle this on Monday, Jonathan, we will come provide information to all of you on what's in there, and then, of course, it will be a centerpiece of our discussion over the balance of the year."
"Okay. But there's no -- there is not going to be a rethink, this is about one -- one thing like that from the sound there?","No, no."
"Okay. Great. Thank you for that. And then just on -- just in terms of what you're seeing on load and that your comments about second quarter probably being the peak and how is that what you've seen, sorry, ﬁrst quarter. How is, what you've seen in terms of the last few weeks relevant to the trajectory you expected when you gave that year-end, 1.5%. Yeah, glide path, I guess. You -- has it tracked a little ahead or is it roughly on the line you would have thought, or any more color you can give us there?","Jonathan, I -- I would say we continue to experience very strong growth in the Carolinas and in Florida and that shows up with customers, it shows up with economic development, and our results reﬂect that strength. But we're also monitoring, what's going on in the broader economy with inﬂation and GDP growth expectations, and so that has kept us at our planned level of 1.5% for the full year.  And I don't know, Steve, if you would add to that?      Duke Energy Corp (DUK US Equity)   Yeah, I think we're going to have -- we gave strongly here, but as Lynn said we're not going to move oﬀ of 1.5% at this time because there are other factors we need to think about. We're early in the year but it's nice to continue to see the migration and -- and when -- when people move in, the commercials is going to follow that; hotels, restaurants, et cetera. And we're seeing robust industrial growth just in our service areas due to economic development eﬀorts and just the general good business climate.  So, hopefully, that will carry through and continue on, but we're oﬀ to a good start, but we got to keep an eye on it, not time to change the forecast."
