Question,Answer
"Hi, good morning, it's actually Constantine here for Shar. Congrats on a great quarter.",Thanks.
"A couple of quick questions here. So, you reiterated guidance and kind of with a strong result of the ﬁrst quarter. Are you starting to trend to the top half of your current range, given the strong results and maybe some of the moving pieces here and is there some sort of reserve in the current plan for the SERI complaint on the lease back and tax issues. Any kind of color you can give.","So, this is Drew. On the ﬁrst question, obviously it's just the ﬁrst quarter, it's early in the year, I would say we're oﬀ to a really good start and some of the things that are in our numbers this quarter, we have arch that we would ﬂex up to put the spending back in that we had taken out to adjust for the order like for example in Arkansas. So I would say we are -- we are very comfortable in our range right now. But since it's only the ﬁrst quarter, we're not making any adjustments just yet.  And then as it -- in regards to the reserve for SERI on the uncertain tax position, we have not -- as we said before, we haven't made any reserves for that position. We still believe that we have a good position in regards to that case and nothing has changed in that regard that would cause us to think otherwise, because nothing has changed, we haven't taken any reserves from an accounting position."
"That's excellent color. And just one follow-up on kind of given the recent regulatory outcomes and kind of how you your plan around, has that -- has any of that changed, is it $2.5 billion equity need outlook kind of maybe a few moving pieces there and       just given the disconnect between the stock, are you potentially looking at any kind of alternatives to satisfy that equity content, whether it's diﬀerent instruments or any kind of asset monetization versus issuance.","Yeah. So in regards to the amount, nothing has changed in that regard and then we are still where we were when we talked to you last summer. The other thing associated with the methods, in which we might go access that equity capital, we've talked a little bit about that in the past. Certainly we have the ability to go do block equity, but more recently, we've put a plan in place to do at the market and next week, we have our proxy results, which we've requested from you all, our owners, to allow us to do preferred equity.  We think that gives more ﬂexibility in terms of accessing the capital and we think we can do it in a more shareholder -- shareholder friendly way, because it gives us the opportunity to potentially converts and not dilute our existing owners today. So that's something that we're looking to get next week, and so we'll know a result of that.  In regards to I think the other thing that you're hinting at is something that we addressed last quarter as well around the potential sale of a portion of equity from an operating company going forward, and as we said there is a diﬀerence between obviously, the cost of equity at the operating company and where we are trading today. So that -- that is something that we would look closely at. But that is still very much a strategic decision that's a long-term decision and it's sort of masquerading around as a ﬁnancing decision and it's really not, because you can't do the transaction and then close in a couple of days, you know you're going to be waiting 18 months to 24 months, because you got to go get regulatory approval in our jurisdictions. So it does make it ideal from that perspective. There are other considerations that you have to also take into account, in addition to the regulatory and the timing risk, as we've seen others execute on that. It didn't actually solve their credit problem, they ended up getting downgraded anyway.  So that's something that we would be -- have to be keenly aware of. But as a strategic issue, it's something that we pay attention to, and it's something that we are evaluating and continue to evaluate, because of the price diﬀerences out there, because strategic question it starts to get into the more M&A stuﬀ around. Okay. So and to do this, when you go ask for approval, can you execute on it, we think there is some value there. And will it distract you from other things that are going on in the utility business, so that our ability to execute. So, that's kind of a long answer around what sort of ﬁnancing question, but really turns into an M&A question on the key point that I think you're looking for."
Yes. That's very helpful. And thank you so much. And thank you guys for taking my question.,"Great, thank you.  Operator   Thank you. And our next question comes from the line of Jeremy Tonet with JP Morgan. Your line is open. Please go ahead."
"Hi, good morning.",Good morning.
"Just wanted to kind of dive into trends in your territories, a bit more. What are you seeing behind 1Q sales and do you have any sense on more recent trends and how sales may come in over the balance of the year as we reopen post COVID here?","Hi, it's Rod West. From a sector perspective, most of the year we are expecting in the residential, for instance, residential and commercial sector, we are seeing recovery from COVID in the industrial sector, where we've had -- talked about our outlooks in the growth there, we're seeing that sector also recovering from COVID but in the short term taking into account some of the challenges from the recent winter storm. That said, our stakeholder engagement with speciﬁc customers within each segment support our conﬁdence in our ongoing outlooks for sales growth. So everyone is in their own way recovering from both COVID and the winter storms, but we have line of sight in each sector that supports what we've shared with you from an outlook perspective on continued growth and that's just -- that's not only '21, but beyond.  And Jeremy, I'll add that in the -- in Rod's reference to winter storm, but it had an outside -- an outsized impact on our industrial customers in the last quarter. So it's minus 3% quarter-over-quarter, but maybe less than 1% down without the winter storm, so that's a big impact. And you can see that kind of play out in our overall view for the year, because that's not weather adjustment that we would make. We don't weather adjust the industrial customers.  And then, I'll also add just from a macro perspective, that we are seeing some good signals in the industrial space. We are -- we see that inventories for some of our key and reﬁned products customers are trending back to normal. So some of that inventory overhang has gone away. As a result, we've seen margins improve, crack spreads -- time or geographic spreads Henry Hub to Asia and Europe for example are trending in the right direction.     And it looks like the housing market is starting to tick up, so that could help out our core alkali customers and some of the just the basic macro factors like oil prices are better now and the dollar still hasn't rebounded all that much. And those are all sort of positive signals for our industrial customers. So we, yeah, we -- we look at those signals and we're optimistic, although we want to see it show up in the sales as well."
"Got it, got it. So it sounds like the weather depressed things a bit there. That makes sense. And just wanted to turn to carbon capture for a minute here, you mentioned that. I'm just wondering what do you -- what prospects do you see in the near term there, do you think that the 45Q's as the written now maybe combined with LCFS makes these projects economic and I guess what's unique about your territories, just given the backdrop of oil and gas there, it seems like it could be more economic to do it in your area versus maybe other areas in the country. So just wondering if you could talk about how near term that potential is or how you guys might stand up versus others.","Yeah. Well, thanks. That's -- that's a carbon capture is just one one piece of the puzzle here and I think our service territory really bodes well across a variety of new technological advancements and again will be helpful, not only for the power sector, but for the people who produce some of those commodities as well as people consume those commodities.  So you've probably seen a lot of press lately about what a lot of our customers are doing in both hydrogen and in carbon capture as well as renewables. So there is a signiﬁcant amount of opportunity for us, whether it's 45Q, as it stands today or whatever happens with the infrastructure, legislation, or tax policy around that. It's really early in the game, but certainly the administration has been -- has been very clear that new technologies that provide the opportunity to -- to lower the carbon footprint of the power sector and our industrial customers are all fair game for tax credits, all fair game for other support initiatives that could help accelerate the development of things like not only renewables, battery storage but carbon capture, hydrogen utilization, and hydrogen production, hydrogen transportation, hydrogen storage. All of that is, when you say -- how do we -- how do we line up, those people who are talking in other sectors about carbon capture and talking about production of green hydrogen are all our customers and so how near term is it? That's why we are investigating those technologies on our own with our customers and through our JDA with Mitsubishi to try to tease out the technologies, tease out the costs and accelerate the ability to utilize those.  If you think about it, it's carbon capture and hydrogen for example become more economic and get to market faster and our deployment of renewables can increase and go faster, so that all works really hand in hand. So early in the game, I think there is a lot of support both through extension of existing policy plus the potential for new policy. We're working closely, not only with the industry, but with -- with the folks in Washington and the administration ourselves, plus with our partners and our customers to try -- to try to really advance the ball on this because we think we're     uniquely positioned as it relates to all of those because it's vital to us, it's vital to the - - to the customers that we have as well.  So, really think there is a lot of momentum behind it at the moment as well."
Got it. That's very helpful. Thanks for that.,Thank you.  Operator  Thank you. And our next question comes from the line of Durgesh Chopra with Evercore ISI. Your line is open. Please go ahead.
"Hey, good morning, team. Thanks for taking my question.",Good morning.
"Can I just go back to your commentary around the SERI reserve. Did I -- did I capture that correctly that you did not change your -- sort of your reserve amounts or your accruals after the ALJ decision, so do I take that to mean that sort of the decision was in line with the recommendations, I'm just trying to see what the implications might be to your guidance and long-term growth rate once you do receive a ﬁnal outcome.","Yeah. No. Good question, and I was actually I thought referring more to the uncertain tax question. But in regards to the ROE and capital structure, the answer is actually the same, we didn't -- we didn't change our reserve position. I wouldn't say that we were exactly in line. In fact, it was a little bit below our expectations, we talked about a $0.03 sort of ongoing drag versus what we had in our own models internally.  It doesn't change any of our outlooks, but that was a little diﬀerent than our expectation. That would, if it stands translate to a slightly higher need for us to reserve at some point if the FERC comes out at the same place that the ALJ does, I think it would be $20 million to $25 million kind of one time on that change. But we - - as you saw, we ﬁled last week to see if we could convince the FERC that ought to be a little bit higher. So we'll wait to see how that comes out, but we will need to take a charge on the ROE cap structure piece of about $20 million, $25 million down the road if the ALJ position stands."
