Question,Answer
"Good morning, guys.","Good morning.  Good morning, Shah."
"So let me just start oﬀ by asking on the performance of your decommissioning trust funds. Obviously, the performance for the quarter was somewhat materially less than your expectation. So can you kind of, one: elaborate what drove this? And more importantly, does your fundamental view point that you exit EWC in a cash ﬂow positive position and I'll put the question. Because what you saw, and do you sort of see any impact on the sales process with the performance?","Okay. Shah, this is Drew. And your ﬁrst question about the drivers. I think it's just the - - it's the accounting change that reﬂected the equity markets over the course of the quarter. And so, of course, last year we did not have to mark-to-market the equity fees. We only saw the realized gains and losses associated with the trust. And this year -- and the rest of it was in other comprehensive income. This year, all of it's ﬂowing through the income statement.  And as part of that, as we went to this accounting change, we actually moved 600 -- about a $600 million positive into retained earnings. It didn't go through the income statement, it was just re-classed on the balance sheet from other comprehensive income. So those are the things that were going on there. And of course, we also had some of the portfolio management activities that we talked about last quarter that were derisking our portfolio. So, our overall loss was a very slight loss compared to maybe an equity market loss, a couple percent over the quarter.  And as regards to our EWC plans, it doesn't change anything overall for EWC plans or for cash expectations towards the end of the -- through 2022. So we still expect 2017 to 2022 to be neutral or positive. In fact, as we were thinking about this earlier, here we are pressure testing these -- several things that could happen to make sure that we can sustain that statements through any volatility that we might see in the markets."
"Okay, got it. That's helpful. And then just I appreciate the comments that you had on the equity. But your prior thoughts or language seem to point that you were more shifting toward something more market based versus initiation of an internal program. So is that sort of still kind of what you're tilting or should we assume sort of a combination of both given sort of the size of the potential oﬀering. So sort of like, how is your thought process generally evolving?","Yeah. So, we are still -- we still have all our options on the table because we are thinking about optimizing against the timing and the need with the markets and the cost that we might incur associate with that. So all those things are still on the table. And they likely be later this year when we get into the market."
"Okay. Thanks, guys.","Thank you.  Thank you, Shah.  Operator  Thank you. Our next question comes from Julien Dumoulin-Smith with Bank of America Merrill Lynch. Your line is now open."
"Hey, good morning.","Good morning, Julien.  Good morning."
"Hey. So wanted to chat on transmission, brieﬂy. Clearly there were some events in the quarter with respect to sort of North and South integration that transpired. Also I suppose, in the settlement itself in Louisiana, there's been discussion about capital spending. Can you discuss sort of the state of aﬀairs and process with respect to MISO and your own capital budgeting plans around that. And I acknowledge that, this may preempt little bit at the Analyst Day, but I wanted to delve into it, if you could?","Julien, this is Rod. One, we are staying in MISO and much of the capital planning for the utility business is consistent with the MTEP processes through 2017, certainly 2018 and beyond. The signiﬁcance of the settlement in Louisiana plays along with that. Part of that 9.95 [ph] resets in our Louisiana FRP includes an expectation of about $0.5 billion a year during the period in transmission alone. And so, the capital plan is consistent with our expectations around our earnings opportunity and the growth in CapEx will be fueled in part by what comes out of the MTEP process with MISO."
"Just to be clear about it, is there anything that's shifted in the MTEP process with respect to some of the limitations on the North-South capacity. I suppose, this Winter, there were some events?",No.
"Okay, excellent. And the 0.5 billion is consistent with the 8.45 [ph] as well.",When you say the 8.45 [ph]?
The '18 to '20 average for preliminary transmission capital plan.,"Yes, yes. Thank you."
Excellent. Thank you.,"Thanks, Julien.  Operator  Thank you. Our next question comes from Jonathan Arnold with Deutsche Bank. Your line is now open."
"Good morning, guys.","Good morning, Jonathan.  Good morning."
"Just -- I thought, I heard, you say and I may have misheard this. Apologize, if so. As of March 31, the decommissioning funds were approximately $4 billion.",That's correct.
"So can you help us, deﬁnitely that might not be on the same basis as the slide 29, where the escalated funding adds up to about 5.8 as of 12.31. And then the question is, sort of when you say escalated, can you just remind us what that means?","That's using the 2% growth rate. But the -- I think where you want to look, there is a diﬀerent slide in there, that I believe has -- on slide 25 in the appendix, has the NDT balances as of March 31. That's on slide 25."
"Okay. So, that's the one.",Correct.
"But it is -- that's not on the same basis right, as the --","No. They are escalated, that's using the NRC funding formulas on the other page. I apologize for that confusion. We will make sure to clarify that."
That's ﬁne. That was really -- I just wanted to get that straight. Thank you.,No problem.  Operator  Thank you. Our next question comes from Praful Mehta with Citigroup. Your line is now open.
"Hi, guys. Thanks.","Good morning, Praful.     Good morning, Praful."
"So, ﬁrstly just on -- hi. So, just on earnings, in terms of where you are tracking relative to your guidance, I know there was some talk on -- not at the lower end, where exactly do you see yourself now given Q1 is kind of done at in terms of 2018 EPS guidance?","Yeah. That's a good question, Praful. And I think, we're expecting to be about in the middle at this point, I mean, it's early in the year. We have a lot of levers to manage the current volatility in the decommissioning trust. And so we are expecting on an operational basis to be about the middle, when it's all said and done. For Utility, Parent & Other, we are right on track as of the ﬁrst quarter, so there wouldn't be any change there."
"Okay, great. That's helpful. And then secondly on this unprotected DTL refunds, they look meaningful and clearly it looks like you are doing them sooner than you had originally planned. So just to understand the impacts of that from the cash ﬂow side and the credit side, I'm assuming that's a negative, but you're saying you're going to recover from that pretty quickly. Just touch on that a little bit.  And then secondly on the rate base side that should probably be a positive helping your growth. So if you can just help us understand the kind of implications of the decommissioning unprotected (inaudible) deferred income tax refund impacts?","Sure. In regards to the cash and the credit metrics and the pay, so we were anticipating when we talked last quarter a little slower pace on how fast the unprotected excess ADIT would be ﬂowing back to customers. And now it's little faster. So the expectation is the way that that's going to work from an income statement perspective, as it will be no eﬀect, but we'll be getting less revenue in the door, which would be a cash item and we'll also be experiencing lower income tax expense, which will be a non-cash item on the income statement.  So that will oﬀset there, the ﬂow into the cash ﬂow metrics. And so the measures that we were talking about are the metrics like FFO to debt. Last quarter we talked about 14% on a longer-term basis. Now we're expecting it to be a little bit lower than that upfront, but we will recover much quicker. And so by 2020, we expect to be above that level, because of the more rapid return of the unprotected excess ADIT.  And from a rate base perspective, we would expect that as -- and we haven't ﬁnished it in our regulatory process. But as we return unprotected excess ADIT to customers,     our net rate base are to increase. And so, on the last call we talked about opportunity for about $1 billion of increased net rate base by 2020. We still expect that to be the case associated with the return of the excess ADIT, both protected and unprotected by the way for that."
"Super helpful. Thanks, Drew.","Thank you, Praful.    Operator  Thank you. Our next question comes from Steve Fleishman with Wolfe Research. Your line is now open."
"Yeah, thanks. I guess two clariﬁcations. Just on a comment on the middle of the range for this year that you're tracking to. Is that good for both the overall company and Utility, Parent and Other?","Yeah. (inaudible) that one too ﬁrst Steve. This is Drew. So, yeah, we have several levers that we think we can pull to manage the operational spot. But, as far as Utility, Parent & Other, we are right on track to begin with."
"Okay. And then, just in terms of thinking about the comment on the ADIT get back and alike, so to a degree, you have this kind of lower upfront metrics, does that kind of (inaudible) to get the equity issuance done sooner. And then just to kind of manage the consistency of the metrics or is that -- is the fact that you get there by 2019, 2020. That's ﬁne for the agencies, they don't care if it's lower for one year.","Yeah. So this is Drew. So, in terms of the overall timing of the excess ADIT return, it is moving forward. And we were and are trying to match up our excess of the equity capital markets to that in some way. So it's going to move it forward a little bit, but the rating agencies are certainly aware that we are going to access the equity capital markets there looking at that, plus a number of other factors like our progress on changing our business risk proﬁle at EWC and the positive regulatory environment within the utility that's improving. So they are taking a number of things into consideration. I think, only one of which is making sure that we match up the timing of the equity with the return of those cash ﬂows."
